model,params,score_mean,good_rate_mean,rmse_mean,mape_mean
xgboost,"{'max_depth': 6, 'lr': 0.05}",0.3753896870065028,0.7345064382020174,35735.38550245138,1.693823379640672
xgboost,"{'max_depth': 6, 'lr': 0.1}",0.3632436098457861,0.7352016154756464,36342.938251483414,1.920479194655982
xgboost,"{'max_depth': 8, 'lr': 0.05}",0.36628812246191145,0.7362006157509924,35877.46423905329,1.8645769712378553
xgboost,"{'max_depth': 8, 'lr': 0.1}",0.25126272435517094,0.7304335659040132,36116.22659987187,1.9127060078463858
catboost,{'depth': 6},0.2627531335044468,0.7041737087611901,33652.14004690633,2.1891284995900135
catboost,{'depth': 8},0.26796055642546424,0.7074698858280712,34086.09308221558,2.1655783405278672
