iter	Passed	Remaining
687	2241	364
688	2245	361
689	2248	358
690	2252	355
691	2255	352
692	2260	349
693	2264	345
694	2268	342
695	2272	339
696	2275	336
697	2279	333
698	2282	329
699	2286	326
700	2289	323
701	2293	320
702	2297	316
703	2300	313
704	2303	310
705	2306	307
706	2310	303
707	2313	300
708	2316	297
709	2320	294
710	2323	290
711	2326	287
712	2330	284
713	2333	281
714	2337	277
715	2340	274
716	2343	271
717	2346	268
718	2350	264
719	2353	261
720	2357	258
721	2360	255
722	2364	251
723	2367	248
724	2370	245
725	2373	241
726	2377	238
727	2380	235
728	2384	232
729	2387	228
730	2390	225
731	2394	222
732	2397	219
733	2401	215
734	2404	212
735	2407	209
736	2411	206
737	2414	202
738	2417	199
739	2421	196
740	2424	193
741	2428	189
742	2432	186
743	2435	183
744	2438	180
745	2442	176
746	2445	173
747	2449	170
748	2453	167
749	2456	163
750	2460	160
751	2463	157
752	2467	153
753	2470	150
754	2473	147
755	2477	144
756	2480	140
757	2483	137
758	2486	134
759	2489	131
760	2493	127
761	2496	124
762	2499	121
763	2502	117
764	2506	114
765	2509	111
766	2512	108
767	2516	104
768	2519	101
769	2522	98
770	2526	95
771	2529	91
772	2533	88
773	2536	85
774	2540	81
775	2543	78
776	2547	75
777	2550	72
778	2554	68
779	2558	65
780	2562	62
781	2565	59
782	2568	55
783	2571	52
784	2574	49
785	2578	45
786	2581	42
787	2584	39
788	2587	36
789	2591	32
790	2594	29
791	2598	26
792	2601	22
793	2605	19
794	2608	16
795	2611	13
796	2615	9
797	2619	6
798	2622	3
799	2625	0
