iter	RMSE
231	17932.86943
232	17891.91869
233	17874.93394
234	17837.85588
235	17819.19332
236	17792.68106
237	17732.66677
238	17693.81974
239	17658.52787
240	17625.3142
241	17563.26563
242	17540.64839
243	17531.15708
244	17502.9615
245	17461.51408
246	17450.26403
247	17440.94135
248	17418.04814
249	17387.84381
250	17359.40243
251	17318.04999
252	17283.93025
253	17242.19107
254	17207.62857
255	17174.94852
256	17168.11288
257	17118.46596
258	17083.03789
259	17028.45311
260	16976.64071
261	16967.02424
262	16926.11307
263	16883.37922
264	16863.09104
265	16854.87797
266	16825.08852
267	16768.44143
268	16755.22367
269	16745.3869
270	16717.93915
271	16703.48807
272	16676.32531
273	16648.65851
274	16644.7408
275	16611.45273
276	16593.51259
277	16546.28965
278	16506.37595
279	16486.19382
280	16461.50623
281	16420.13911
282	16404.43205
283	16369.62513
284	16344.19967
285	16321.66857
286	16285.7606
287	16279.13658
288	16228.0626
289	16222.29299
290	16194.41026
291	16168.14016
292	16161.80884
293	16141.2248
294	16091.79854
295	16059.07821
296	16044.04773
297	16000.1539
298	15975.20157
299	15955.65798
300	15947.42676
301	15905.21874
302	15872.40772
303	15865.52894
304	15839.71457
305	15828.23328
306	15814.1978
307	15805.79023
308	15795.72946
309	15771.46267
310	15725.11081
311	15700.20961
312	15689.38842
313	15667.19466
314	15616.91307
315	15608.22301
316	15545.15757
317	15527.03203
318	15514.95479
319	15509.31359
320	15503.15694
321	15482.1063
322	15470.19227
323	15423.6224
324	15400.22351
325	15363.28463
326	15336.68418
327	15314.07777
328	15297.5419
329	15270.10659
330	15267.00033
331	15224.96644
332	15208.31663
333	15169.81885
334	15127.10709
335	15095.45186
336	15068.75879
337	15048.22775
338	15010.90604
339	15006.89805
340	14952.06422
341	14937.50154
342	14881.49988
343	14861.93
344	14840.71196
345	14816.61958
346	14799.54615
347	14777.70083
348	14735.43505
349	14713.69774
350	14665.77447
351	14604.38023
352	14585.16939
353	14563.78532
354	14551.17593
355	14535.30213
356	14517.89006
357	14475.68042
358	14462.12485
359	14431.61225
360	14377.08317
361	14331.63357
362	14289.45468
363	14262.51803
364	14259.02399
365	14236.49931
366	14215.24162
367	14202.30066
368	14177.01481
369	14171.93184
370	14149.81839
371	14101.42423
372	14089.12316
373	14061.23673
374	14058.52055
375	14053.74756
376	14050.02397
377	14021.30029
378	13984.60951
379	13933.86869
380	13923.7527
381	13898.92051
382	13850.04933
383	13824.23816
384	13822.39791
385	13795.87365
386	13766.25882
387	13759.93592
388	13739.30786
389	13732.03692
390	13713.39817
391	13668.94576
392	13651.03072
393	13645.71402
394	13602.94615
395	13596.53874
396	13593.0198
397	13585.77193
398	13574.79797
399	13568.53554
400	13565.86587
401	13547.04621
402	13529.83878
403	13480.97682
404	13461.11889
405	13439.92994
406	13397.6615
407	13385.48809
408	13378.42012
409	13334.53361
410	13304.54141
411	13290.46633
412	13263.62067
413	13231.78385
414	13216.12187
415	13185.7151
416	13171.19639
417	13149.75817
418	13146.24361
419	13118.24288
420	13095.21854
421	13084.65021
422	13080.2253
423	13066.56985
424	13048.54041
425	13025.4499
426	13014.04493
427	13007.05412
428	12979.40312
429	12962.4121
430	12937.96329
431	12925.63324
432	12897.8409
433	12868.82398
434	12863.7269
435	12861.60232
436	12850.63741
437	12822.57032
438	12812.17504
439	12804.56952
440	12795.52581
441	12790.36023
442	12783.68257
443	12778.88742
444	12754.15253
445	12749.87018
446	12738.56144
447	12717.04205
448	12708.9502
449	12698.19528
450	12667.42577
451	12635.96736
452	12611.58064
453	12594.01495
454	12569.57066
455	12553.62986
456	12550.40042
457	12544.62555
458	12529.92809
459	12519.58277
460	12479.77708
461	12466.52478
462	12459.20458
463	12430.06145
464	12407.28816
465	12383.17316
466	12375.07057
467	12366.06776
468	12350.45315
469	12342.52918
470	12337.35622
471	12323.27363
472	12318.92652
473	12299.75332
474	12281.38927
475	12275.61296
476	12230.80435
477	12218.68647
478	12213.7634
479	12206.39647
480	12185.27388
481	12161.29529
482	12135.98668
483	12118.49593
484	12101.99364
485	12080.76921
486	12061.83555
487	12046.20652
488	12026.71897
489	12024.45123
490	11987.38016
491	11979.82829
492	11969.23696
493	11963.02202
494	11945.80297
495	11914.12649
496	11885.14194
497	11867.31838
498	11860.50901
499	11842.803
500	11808.40248
501	11777.22937
502	11773.5063
503	11761.52657
504	11733.4629
505	11716.46021
506	11705.25548
507	11697.01953
508	11683.07358
509	11658.54293
510	11650.04966
511	11636.49732
512	11630.17553
513	11620.04912
514	11587.5764
515	11582.75567
516	11561.93463
517	11523.62751
518	11497.00453
519	11474.17153
520	11452.3767
521	11423.3248
522	11413.23163
523	11410.78585
524	11394.50596
525	11386.70148
526	11363.77761
527	11346.55074
528	11324.49012
529	11322.15083
530	11302.26344
531	11296.86582
532	11267.76151
533	11256.13489
534	11253.98277
535	11247.63092
536	11223.90415
537	11215.53386
538	11199.01647
539	11194.97503
540	11181.32568
541	11172.5339
542	11162.88203
543	11155.62539
544	11151.81812
545	11149.31104
546	11123.27146
547	11104.63127
548	11064.56796
549	11030.08338
550	11026.00041
551	11019.11355
552	11011.57711
553	10990.43422
554	10979.82893
555	10972.47832
556	10959.93415
557	10943.73257
558	10915.50412
559	10903.83051
560	10894.83758
561	10863.53727
562	10840.17894
563	10833.73351
564	10825.39357
565	10819.16879
566	10804.93191
567	10787.37606
568	10758.65344
569	10744.86913
570	10729.95372
571	10721.60444
572	10702.52919
573	10687.34817
574	10680.30839
575	10675.69084
576	10642.64783
577	10619.61941
578	10590.44128
579	10586.10833
580	10562.94248
581	10548.10749
582	10527.43927
583	10507.81844
584	10501.32179
585	10497.54244
586	10484.25424
587	10471.74611
588	10458.66932
589	10437.74814
590	10421.36748
591	10398.84012
592	10385.32381
593	10370.41612
594	10357.21168
595	10336.72308
596	10333.76443
597	10324.22361
598	10302.27707
599	10275.66481
600	10250.81901
601	10240.03524
602	10233.53542
603	10213.04675
604	10209.8478
605	10208.03022
606	10193.49727
607	10182.38697
608	10160.51961
609	10154.63804
610	10143.98353
611	10135.91681
612	10128.6575
613	10115.61769
614	10100.92967
615	10088.18971
616	10082.48254
617	10068.82193
618	10067.88829
619	10059.34785
620	10049.77065
621	10022.83809
622	9997.742071
623	9968.915297
624	9947.369146
625	9930.988316
626	9917.480099
627	9914.553555
628	9905.349155
629	9886.348792
630	9873.38581
631	9862.880367
632	9860.008158
633	9841.75526
634	9832.880041
635	9826.797676
636	9813.176418
637	9792.736097
638	9788.824148
639	9777.928187
640	9771.725429
641	9762.342867
642	9735.331685
643	9722.116177
644	9712.871417
645	9701.567764
646	9694.469017
647	9674.359878
648	9649.357441
649	9637.396286
650	9629.421754
651	9616.553534
652	9610.303285
653	9606.803861
654	9589.611791
655	9567.544608
656	9564.247109
657	9558.491593
658	9554.852201
659	9542.283609
660	9539.97542
661	9531.09488
662	9508.384549
663	9504.048847
664	9500.133833
665	9480.574738
666	9472.96888
667	9471.076802
668	9455.325344
669	9450.254105
670	9442.456029
671	9431.50999
672	9423.693765
673	9420.605788
674	9405.548296
675	9386.505122
676	9385.318038
677	9375.447508
678	9370.336558
679	9345.035878
680	9340.314197
681	9329.327406
682	9318.289988
683	9306.182869
684	9294.852092
685	9291.506412
686	9268.322313
687	9261.182525
688	9236.228817
689	9227.02685
690	9224.504019
691	9220.698445
692	9203.323925
693	9191.617333
694	9179.907277
695	9158.441352
696	9148.651334
697	9125.013015
698	9115.835298
699	9096.370573
700	9087.089276
701	9075.203825
702	9070.389164
703	9044.022508
704	9033.576922
705	9026.701805
706	9015.50172
707	8994.647522
708	8972.414713
709	8967.079187
710	8943.223872
711	8926.957621
712	8922.089703
713	8897.445535
714	8877.767748
715	8865.435864
716	8841.496677
717	8838.411997
718	8832.511839
719	8822.200526
720	8804.794091
721	8787.313
722	8765.659024
723	8751.158848
724	8746.109182
725	8742.828251
726	8739.812559
727	8734.611097
728	8720.724113
729	8719.421855
730	8700.445559
731	8691.200215
732	8682.913122
733	8671.856681
734	8653.869206
735	8641.625779
736	8636.286736
737	8624.044781
738	8611.051619
739	8595.902404
740	8576.249545
741	8574.439552
742	8559.567547
743	8552.163564
744	8542.132674
745	8538.314065
746	8514.822942
747	8497.343505
748	8477.287851
749	8454.449962
750	8450.416937
751	8429.743979
752	8415.432535
753	8411.573911
754	8405.71281
755	8401.836391
756	8394.561324
757	8377.028683
758	8370.136925
759	8353.806802
760	8338.951199
761	8323.349478
762	8318.2689
763	8300.00561
764	8286.426222
765	8285.474892
766	8279.533545
767	8258.618471
768	8255.313782
769	8240.82508
770	8225.949957
771	8219.319325
772	8212.7815
773	8196.332352
774	8186.896132
775	8173.138862
776	8156.330518
777	8155.344213
778	8133.89109
779	8127.501199
780	8112.09763
781	8102.325588
782	8078.283173
783	8077.080882
784	8062.57567
785	8050.036105
786	8041.699345
787	8027.437481
788	8015.876218
789	8011.288532
790	7995.712281
791	7995.194629
792	7983.019129
793	7958.689965
794	7952.694833
795	7934.69582
796	7917.861568
797	7906.162155
798	7892.74809
799	7889.938602
